index,year,week,deaths,year.month,n_days,deaths.s,pop.0to65,temp.max,temp.min,t.min2,t.min,t.max,deaths.pc,counter
1995.1,1995,1,538,1995.01,1,470.75,13390546,NA,NA,NA,NA,NA,4.0177599927590704e-5,-14
1995.2,1995,2,511,1995.01,0,511,13390546,NA,NA,NA,NA,NA,3.816125197583429e-5,-14
1995.3,1995,3,473,1995.01,0,473,13390546,NA,NA,NA,NA,NA,3.5323428932621565e-5,-14
1995.4,1995,4,513,1995.01,0,513,13390546,NA,NA,NA,NA,NA,3.831061108337181e-5,-14
1995.5,1995,5,484,1995.01,0,484,13390546,NA,NA,NA,NA,NA,3.6144904024077885e-5,-14
1995.6,1995,6,464,1995.02,0,464,13390546,NA,NA,NA,NA,NA,3.4651312948702763e-5,-14
1995.7,1995,7,503,1995.02,0,503,13390546,NA,NA,NA,NA,NA,3.756381554568425e-5,-14
1995.8,1995,8,481,1995.02,0,481,13390546,NA,NA,NA,NA,NA,3.5920865362771615e-5,-14
1995.9,1995,9,491,1995.02,0,491,13390546,NA,NA,NA,NA,NA,3.6667660900459176e-5,-14
1995.10,1995,10,513,1995.03,0,513,13390546,NA,NA,NA,NA,NA,3.831061108337181e-5,-14
1995.11,1995,11,486,1995.03,0,486,13390546,NA,NA,NA,NA,NA,3.6294263131615396e-5,-14
1995.12,1995,12,516,1995.03,0,516,13390546,NA,NA,NA,NA,NA,3.853464974467807e-5,-14
1995.13,1995,13,498,1995.03,0,498,13390546,NA,NA,NA,NA,NA,3.719041777684047e-5,-14
1995.14,1995,14,492,1995.04,0,492,13390546,NA,NA,NA,NA,NA,3.674234045422793e-5,-14
1995.15,1995,15,499,1995.04,0,499,13390546,NA,NA,NA,NA,NA,3.726509733060922e-5,-14
1995.16,1995,16,508,1995.04,0,508,13390546,NA,NA,NA,NA,NA,3.793721331452803e-5,-14
1995.17,1995,17,488,1995.04,0,488,13390546,NA,NA,NA,NA,NA,3.644362223915291e-5,-14
1995.18,1995,18,508,1995.05,0,508,13390546,NA,NA,NA,NA,NA,3.793721331452803e-5,-14
1995.19,1995,19,528,1995.05,0,528,13390546,NA,NA,NA,NA,NA,3.943080438990314e-5,-14
1995.20,1995,20,463,1995.05,0,463,13390546,NA,NA,NA,NA,NA,3.4576633394934005e-5,-14
1995.21,1995,21,492,1995.05,0,492,13390546,NA,NA,NA,NA,NA,3.674234045422793e-5,-14
1995.22,1995,22,514,1995.05,0,514,13390546,NA,NA,NA,NA,NA,3.838529063714056e-5,-14
1995.23,1995,23,485,1995.06,0,485,13390546,NA,NA,NA,NA,NA,3.621958357784664e-5,-14
1995.24,1995,24,435,1995.06,0,435,13390546,NA,NA,NA,NA,NA,3.248560588940884e-5,-14
1995.25,1995,25,477,1995.06,0,477,13390546,NA,NA,NA,NA,NA,3.5622147147696594e-5,-14
1995.26,1995,26,511,1995.06,0,511,13390546,NA,NA,NA,NA,NA,3.816125197583429e-5,-14
1995.27,1995,27,522,1995.07,0,522,13390546,NA,NA,NA,NA,NA,3.898272706729061e-5,-14
1995.28,1995,28,517,1995.07,0,517,13390546,NA,NA,NA,NA,NA,3.860932929844683e-5,-14
1995.29,1995,29,480,1995.07,0,480,13390546,NA,NA,NA,NA,NA,3.584618580900286e-5,-14
1995.30,1995,30,512,1995.07,0,512,13390546,NA,NA,NA,NA,NA,3.823593152960305e-5,-14
1995.31,1995,31,527,1995.07,0,527,13390546,NA,NA,NA,NA,NA,3.935612483613439e-5,-14
1995.32,1995,32,504,1995.08,0,504,13390546,NA,NA,NA,NA,NA,3.7638495099453e-5,-14
1995.33,1995,33,466,1995.08,0,466,13390546,NA,NA,NA,NA,NA,3.4800672056240274e-5,-14
1995.34,1995,34,508,1995.08,0,508,13390546,NA,NA,NA,NA,NA,3.793721331452803e-5,-14
1995.35,1995,35,472,1995.08,0,472,13390546,NA,NA,NA,NA,NA,3.5248749378852813e-5,-14
1995.36,1995,36,512,1995.09,0,512,13390546,NA,NA,NA,NA,NA,3.823593152960305e-5,-14
1995.37,1995,37,500,1995.09,0,500,13390546,NA,NA,NA,NA,NA,3.733977688437798e-5,-14
1995.38,1995,38,479,1995.09,0,479,13390546,NA,NA,NA,NA,NA,3.5771506255234105e-5,-14
1995.39,1995,39,508,1995.09,0,508,13390546,NA,NA,NA,NA,NA,3.793721331452803e-5,-14
1995.40,1995,40,496,1995.10,0,496,13390546,NA,NA,NA,NA,NA,3.7041058669302957e-05,-14
1995.41,1995,41,526,1995.10,0,526,13390546,NA,NA,NA,NA,NA,3.928144528236563e-5,-14
1995.42,1995,42,496,1995.10,0,496,13390546,NA,NA,NA,NA,NA,3.7041058669302957e-05,-14
1995.43,1995,43,503,1995.10,0,503,13390546,NA,NA,NA,NA,NA,3.756381554568425e-5,-14
1995.44,1995,44,549,1995.10,0,549,13390546,NA,NA,NA,NA,NA,4.099907501904702e-5,-14
1995.45,1995,45,491,1995.11,0,491,13390546,NA,NA,NA,NA,NA,3.6667660900459176e-5,-14
1995.46,1995,46,544,1995.11,0,544,13390546,NA,NA,NA,NA,NA,4.062567725020324e-5,-14
1995.47,1995,47,491,1995.11,0,491,13390546,NA,NA,NA,NA,NA,3.6667660900459176e-5,-14
1995.48,1995,48,468,1995.11,0,468,13390546,NA,NA,NA,NA,NA,3.4950031163777785e-5,-14
1995.49,1995,49,527,1995.12,0,527,13390546,NA,NA,NA,NA,NA,3.935612483613439e-5,-14
1995.50,1995,50,560,1995.12,0,560,13390546,NA,NA,NA,NA,NA,4.1820550110503336e-5,-14
1995.51,1995,51,569,1995.12,0,569,13390546,NA,NA,NA,NA,NA,4.249266609442214e-5,-14
1995.52,1995,52,585,1995.12,0,585,13390546,NA,NA,NA,NA,NA,4.368753895472223e-5,-14
1996.1,1996,1,603,1996.01,0,603,13433017,NA,NA,NA,NA,NA,4.488939454182184e-5,-13
1996.2,1996,2,557,1996.01,0,557,13433017,NA,NA,NA,NA,NA,4.146499628490011e-5,-13
1996.3,1996,3,507,1996.01,0,507,13433017,NA,NA,NA,NA,NA,3.774282426650692e-5,-13
1996.4,1996,4,492,1996.01,0,492,13433017,NA,NA,NA,NA,NA,3.6626172660988966e-5,-13
1996.5,1996,5,505,1996.01,0,505,13433017,NA,NA,NA,NA,NA,3.7593937385771195e-5,-13
1996.6,1996,6,510,1996.02,0,510,13433017,NA,NA,NA,NA,NA,3.796615458761051e-5,-13
1996.7,1996,7,533,1996.02,0,533,13433017,NA,NA,NA,NA,NA,3.967835371607138e-5,-13
1996.8,1996,8,464,1996.02,0,464,13433017,NA,NA,NA,NA,NA,3.454175633068878e-5,-13
1996.9,1996,9,520,1996.02,0,520,13433017,NA,NA,NA,NA,NA,3.871058899128915e-5,-13
1996.10,1996,10,459,1996.03,0,459,13433017,NA,NA,NA,NA,NA,3.416953912884946e-5,-13
1996.11,1996,11,522,1996.03,0,522,13433017,NA,NA,NA,NA,NA,3.885947587202488e-5,-13
1996.12,1996,12,493,1996.03,0,493,13433017,NA,NA,NA,NA,NA,3.6700616101356826e-5,-13
1996.13,1996,13,522,1996.03,0,522,13433017,NA,NA,NA,NA,NA,3.885947587202488e-5,-13
1996.14,1996,14,491,1996.04,0,491,13433017,NA,NA,NA,NA,NA,3.65517292206211e-5,-13
1996.15,1996,15,493,1996.04,0,493,13433017,NA,NA,NA,NA,NA,3.6700616101356826e-5,-13
1996.16,1996,16,529,1996.04,0,529,13433017,NA,NA,NA,NA,NA,3.938057995459992e-5,-13
1996.17,1996,17,489,1996.04,0,489,13433017,NA,NA,NA,NA,NA,3.640284233988537e-5,-13
1996.18,1996,18,475,1996.04,0,475,13433017,NA,NA,NA,NA,NA,3.536063417473528e-5,-13
1996.19,1996,19,482,1996.05,0,482,13433017,NA,NA,NA,NA,NA,3.588173825731033e-5,-13
1996.20,1996,20,525,1996.05,0,525,13433017,NA,NA,NA,NA,NA,3.9082806193128466e-5,-13
1996.21,1996,21,511,1996.05,0,511,13433017,NA,NA,NA,NA,NA,3.804059802797838e-5,-13
1996.22,1996,22,513,1996.05,0,513,13433017,NA,NA,NA,NA,NA,3.8189484908714104e-5,-13
1996.23,1996,23,521,1996.06,0,521,13433017,NA,NA,NA,NA,NA,3.878503243165701e-5,-13
1996.24,1996,24,454,1996.06,0,454,13433017,NA,NA,NA,NA,NA,3.3797321927010144e-5,-13
1996.25,1996,25,477,1996.06,0,477,13433017,NA,NA,NA,NA,NA,3.550952105547101e-5,-13
1996.26,1996,26,482,1996.06,0,482,13433017,NA,NA,NA,NA,NA,3.588173825731033e-5,-13
1996.27,1996,27,497,1996.07,0,497,13433017,NA,NA,NA,NA,NA,3.699838986282829e-5,-13
1996.28,1996,28,490,1996.07,0,490,13433017,NA,NA,NA,NA,NA,3.647728578025324e-5,-13
1996.29,1996,29,515,1996.07,0,515,13433017,NA,NA,NA,NA,NA,3.833837178944983e-5,-13
1996.30,1996,30,527,1996.07,0,527,13433017,NA,NA,NA,NA,NA,3.9231693073864194e-5,-13
1996.31,1996,31,506,1996.07,0,506,13433017,NA,NA,NA,NA,NA,3.7668380826139055e-5,-13
1996.32,1996,32,475,1996.08,0,475,13433017,NA,NA,NA,NA,NA,3.536063417473528e-5,-13
1996.33,1996,33,476,1996.08,0,476,13433017,NA,NA,NA,NA,NA,3.543507761510314e-5,-13
1996.34,1996,34,508,1996.08,0,508,13433017,NA,NA,NA,NA,NA,3.781726770687478e-5,-13
1996.35,1996,35,472,1996.08,0,472,13433017,NA,NA,NA,NA,NA,3.513730385363169e-5,-13
1996.36,1996,36,440,1996.09,0,440,13433017,NA,NA,NA,NA,NA,3.275511376186005e-5,-13
1996.37,1996,37,434,1996.09,0,434,13433017,NA,NA,NA,NA,NA,3.2308453119652866e-5,-13
1996.38,1996,38,502,1996.09,0,502,13433017,NA,NA,NA,NA,NA,3.73706070646676e-5,-13
1996.39,1996,39,571,1996.09,0,571,13433017,NA,NA,NA,NA,NA,4.2507204450050204e-5,-13
1996.40,1996,40,505,1996.09,0,505,13433017,NA,NA,NA,NA,NA,3.7593937385771195e-5,-13
1996.41,1996,41,487,1996.10,0,487,13433017,NA,NA,NA,NA,NA,3.6253955459149644e-5,-13
1996.42,1996,42,496,1996.10,0,496,13433017,NA,NA,NA,NA,NA,3.692394642246042e-5,-13
1996.43,1996,43,495,1996.10,0,495,13433017,NA,NA,NA,NA,NA,3.684950298209255e-5,-13
